Date,Day,Approved Strength,Required Strength,Onroll,Contractor,App,C.Off,Total (Onroll Strength),OJT,Onroll Present,Contractor Present,App Present,Total Present,OJT Present,Extra Hours,Extra Hours Mandays,Total Manpower Utilized,Gap,Cumulative Mandays,Manpower Shortage % (Approved),Manpower Shortage % (Required),Absenteeism Onroll,Absenteeism Contractor,Absenteeism App,Rolling Shift Week Off,Informed Leave
2026-01-24,Saturday,300,285,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,133.45,364,-39.48,-46.82,0,0,0,0,0
2026-02-24,Tuesday,300,285,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,133.45,728,-39.48,-46.82,0,0,0,0,0
2026-03-24,Tuesday,300,285,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,133.45,1092,-39.48,-46.82,0,0,0,0,0
2026-04-05,Sunday,NA,NA,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,NA,NA,NA,NA,NA,NA,NA,0,0
2026-04-24,Friday,300,285,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,133.45,1820,-39.48,-46.82,0,0,0,0,0
2026-05-24,Sunday,NA,NA,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,NA,NA,NA,NA,NA,NA,NA,0,0
2026-06-24,Wednesday,300,285,123,241,0,0,123,0,123,241,0,364,0,435.58,54.45,418.45,133.45,2548,-39.48,-46.82,0,0,0,0,0
